ID,Rol,Acusado,Victima,Sexo,Edad,Rango etario,Año,Mes,Día,Día semana,Hora,Hora completa,Num víctimas,Participantes,Fecha fallecimiento,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Barrios,Coordenada,Pos x,Pos y
2021-0059,PASAJERO_ACOMPAÑANTE,OBJETO FIJO,AUTO,FEMENINO,44,Entre 41 y 60,2021,7,22,Jueves,1,01:20:00,1,AUTO-OBJETO FIJO,2021-07-22,"GARAY, JUAN DE AV. 2269",AVENIDA,"GARAY, JUAN DE AV.",,"GARAY, JUAN DE AV. 2269",COMUNA 3,BALVANERA - SAN CRISTOBAL,"-58.3964074,-34.62783085",-58.3964074,-34.62783085
2021-0060,PEATON,PASAJEROS,PEATON,FEMENINO,80,Más de 80,2021,7,22,Jueves,12,12:30:00,1,PEATON-PASAJEROS,2021-07-22,"SALGUERO, JERONIMO Y RIVADAVIA AV.",AVENIDA,"SALGUERO, JERONIMO",RIVADAVIA AV.,"SALGUERO, JERONIMO y RIVADAVIA AV.",COMUNA 5,ALMAGRO - BOEDO,"-58.41971993,-34.6111224",-58.41971993,-34.6111224
2021-0061,PEATON,CARGAS,PEATON,FEMENINO,55,Entre 41 y 60,2021,7,24,Sabado,9,09:15:00,1,PEATON-CARGAS,2021-07-24,"MORENO, PERITO AV. Y ALCORTA, AMANCIO AV.",AVENIDA,"MORENO, PERITO AV.","ALCORTA, AMANCIO AV.","MORENO, PERITO AV. y ALCORTA, AMANCIO AV.",COMUNA 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,"-58.40544588,-34.65012801",-58.40544588,-34.65012801
2021-0062,CONDUCTOR,CARGAS,AUTO,MASCULINO,73,Entre 61 y 80,2021,7,27,Martes,7,07:16:00,1,AUTO-CARGAS,2021-07-27,LA PLATA AV. 2723,AVENIDA,LA PLATA AV.,,LA PLATA AV. 2723,COMUNA 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,"-58.42003882,-34.64645957",-58.42003882,-34.64645957
2021-0063,PASAJERO_ACOMPAÑANTE,AUTO,AUTO,FEMENINO,31,Entre 21 y 40,2021,8,2,Lunes,4,04:40:00,1,AUTO-AUTO,2021-08-02,"ALBERDI, JUAN BAUTISTA AV. 2906",AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",,"ALBERDI, JUAN BAUTISTA AV. 2906",COMUNA 7,FLORES - PARQUE CHACABUCO,"-58.46851293,-34.63348678",-58.46851293,-34.63348678
2021-0064,PEATON,CARGAS,PEATON,MASCULINO,37,Entre 21 y 40,2021,8,2,Lunes,20,20:00:00,1,PEATON-CARGAS,2021-08-03,"PAZ, GRAL. AV. Y TONELERO",GRAL PAZ,"PAZ, GRAL. AV.",TONELERO,"PAZ, GRAL. AV. y TONELERO",COMUNA 9,LINIERS - MATADEROS - PARQUE AVELLANEDA,"-58.52931141,-34.65422917",-58.52931141,-34.65422917
2021-0065,PEATON,PASAJEROS,PEATON,FEMENINO,63,Entre 61 y 80,2021,8,6,Viernes,8,08:30:00,1,PEATON-PASAJEROS,2021-08-10,Av. SAN JUAN Y AV. LA PLATA,AVENIDA,SAN JUAN AV.,LA PLATA AV.,SAN JUAN AV. y LA PLATA AV.,COMUNA 6,CABALLITO,"-58.42675754,-34.6269973",-58.42675754,-34.6269973
2021-0066,PEATON,PASAJEROS,PEATON,MASCULINO,59,Entre 41 y 60,2021,8,6,Viernes,20,20:00:00,1,PEATON-PASAJEROS,2021-08-09,Av. LOPE DE VEGA Y AV. GRAL. PAZ,AVENIDA,LOPE DE VEGA AV.,"PAZ, GRAL. AV.","LOPE DE VEGA AV. y PAZ, GRAL. AV.",COMUNA 11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,"-58.52933723,-34.61098186",-58.52933723,-34.61098186
2021-0067,CONDUCTOR,OBJETO FIJO,MOTO,MASCULINO,27,Entre 21 y 40,2021,8,8,Domingo,9,09:29:00,1,MOTO-OBJETO FIJO,2021-08-08,"AU FRONDIZI KM 2,9 (ALTURA BRASIL)",AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.37910943,-34.62764718",-58.37910943,-34.62764718
2021-0068,CONDUCTOR,OBJETO FIJO,MOTO,MASCULINO,39,Entre 21 y 40,2021,8,15,Domingo,6,06:10:00,1,MOTO-OBJETO FIJO,2021-08-15,"BEIRO, FRANCISCO AV. 5071",AVENIDA,"BEIRO, FRANCISCO AV.",,"BEIRO, FRANCISCO AV. 5071",COMUNA 11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,"-58.52161176,-34.61164474",-58.52161176,-34.61164474
